age,games_played,team_encoded,interceptions_per_game,sacks_per_game,tackles_per_game,solo_tackles_per_game,tfl_per_game,turnovers_per_game,big_plays_per_game,defensive_impact_per_game,target
27.0,247.0,12,0.03684210526315789,0.008097165991902834,0.020242914979757085,0.3360323886639676,0.009716599190283401,0.04089068825910931,0.8356275303643725,0.8724696356275303,0.020242914979757085
27.0,175.0,5,0.037142857142857144,0.0,0.017142857142857144,0.42857142857142855,0.021714285714285714,0.04857142857142857,0.9874285714285715,1.0245714285714287,0.017142857142857144
29.0,203.0,20,0.034482758620689655,0.0049261083743842365,0.014778325123152709,0.3694581280788177,0.03645320197044335,0.034482758620689655,0.8098522167487685,0.8443349753694581,0.014778325123152709
21.0,169.0,14,0.047337278106508875,0.0,0.011834319526627219,0.4260355029585799,0.06568047337278106,0.05325443786982249,0.9473372781065088,0.9946745562130177,0.011834319526627219
36.0,363.0,18,0.027823691460055096,0.0027548209366391185,0.013774104683195593,0.1928374655647383,0.025068870523415977,0.03333333333333333,0.5760330578512397,0.6038567493112947,0.013774104683195593
32.0,216.0,12,0.03148148148148148,0.004629629629629629,0.004629629629629629,0.3148148148148148,0.013425925925925926,0.03148148148148148,0.6060185185185185,0.6375000000000001,0.004629629629629629
32.0,192.0,30,0.03125,0.0078125,0.026041666666666668,0.3489583333333333,0.022395833333333334,0.036458333333333336,0.7385416666666668,0.7697916666666668,0.026041666666666668
31.0,255.0,20,0.03215686274509803,0.00392156862745098,0.011764705882352941,0.2627450980392157,0.041960784313725484,0.039999999999999994,0.736078431372549,0.768235294117647,0.011764705882352941
32.0,221.0,12,0.031221719457013575,0.00904977375565611,0.013574660633484163,0.2986425339366516,0.02579185520361991,0.035746606334841634,0.446606334841629,0.47782805429864256,0.013574660633484163
30.0,153.0,5,0.03333333333333333,0.0196078431372549,0.032679738562091505,0.41830065359477125,0.0803921568627451,0.03333333333333333,0.6228758169934641,0.6562091503267973,0.032679738562091505
34.0,203.0,26,0.029556650246305417,0.014778325123152709,0.034482758620689655,0.31527093596059114,0.022167487684729065,0.04926108374384237,0.6921182266009852,0.7216748768472906,0.034482758620689655
28.0,192.0,13,0.035937500000000004,0.005208333333333333,0.005208333333333333,0.3333333333333333,0.03072916666666667,0.035937500000000004,0.5671875000000001,0.603125,0.005208333333333333
19.0,145.0,17,0.05241379310344827,0.006896551724137931,0.020689655172413793,0.4413793103448276,0.0406896551724138,0.0593103448275862,0.7165517241379311,0.7689655172413793,0.020689655172413793
40.0,246.0,24,0.025203252032520326,0.006097560975609756,0.024390243902439025,0.2601626016260163,0.018292682926829267,0.025203252032520326,0.5609756097560976,0.5861788617886179,0.024390243902439025
39.0,204.0,28,0.025490196078431372,0.004901960784313725,0.0196078431372549,0.3137254901960784,0.0661764705882353,0.030392156862745098,0.6691176470588235,0.6946078431372549,0.0196078431372549
27.0,189.0,5,0.037037037037037035,0.0,0.005291005291005291,0.3333333333333333,0.05291005291005291,0.037037037037037035,0.5238095238095238,0.5608465608465608,0.005291005291005291
27.0,229.0,20,0.03711790393013101,0.0,0.008733624454148471,0.27074235807860264,0.07074235807860262,0.03711790393013101,0.8786026200873363,0.9157205240174672,0.008733624454148471
42.0,361.0,22,0.02382271468144044,0.0,0.008310249307479225,0.16897506925207756,0.03213296398891967,0.02382271468144044,0.7772853185595568,0.8011080332409973,0.008310249307479225
38.0,491.0,6,0.026272912423625255,0.004073319755600814,0.008146639511201629,0.12016293279022404,0.031975560081466396,0.026272912423625255,0.7325865580448065,0.7588594704684317,0.008146639511201629
25.0,186.0,12,0.03978494623655914,0.016129032258064516,0.021505376344086023,0.3172043010752688,0.06397849462365592,0.03978494623655914,0.606989247311828,0.6467741935483872,0.021505376344086023
27.0,206.0,30,0.036893203883495145,0.0024271844660194173,0.019417475728155338,0.28640776699029125,0.06407766990291262,0.04660194174757282,0.6975728155339805,0.7344660194174757,0.019417475728155338
18.0,134.0,17,0.05522388059701493,0.007462686567164179,0.022388059701492536,0.43283582089552236,0.048507462686567165,0.06268656716417911,0.7350746268656716,0.7902985074626866,0.022388059701492536
32.0,282.0,20,0.03120567375886525,0.0035460992907801418,0.0070921985815602835,0.20567375886524822,0.03333333333333333,0.03120567375886525,0.6964539007092199,0.7276595744680852,0.0070921985815602835
35.0,309.0,20,0.0284789644012945,0.003236245954692557,0.006472491909385114,0.18446601941747573,0.005501618122977346,0.03171521035598706,0.2676375404530744,0.2961165048543689,0.006472491909385114
36.0,286.0,18,0.027622377622377625,0.008741258741258742,0.024475524475524476,0.1993006993006993,0.04755244755244755,0.03461538461538462,0.5038461538461538,0.5314685314685315,0.024475524475524476
24.0,226.0,5,0.0415929203539823,0.004424778761061947,0.01327433628318584,0.252212389380531,0.02920353982300885,0.04601769911504425,0.4672566371681416,0.5088495575221239,0.01327433628318584
32.0,258.0,12,0.0313953488372093,0.005813953488372093,0.015503875968992248,0.21705426356589147,0.03178294573643411,0.03914728682170542,0.4484496124031008,0.47984496124031006,0.015503875968992248
20.0,146.0,0,0.049999999999999996,0.003424657534246575,0.0273972602739726,0.3767123287671233,0.04657534246575342,0.07054794520547945,0.7075342465753425,0.7575342465753424,0.0273972602739726
32.0,500.0,20,0.0312,0.0,0.004,0.11,0.019600000000000003,0.0312,0.4756,0.5068,0.004
34.0,263.0,28,0.029277566539923954,0.0038022813688212928,0.015209125475285171,0.20912547528517111,0.05361216730038023,0.03307984790874524,0.7646387832699619,0.7939163498098859,0.015209125475285171
49.0,250.0,7,0.020399999999999998,0.002,0.008,0.216,0.046,0.020399999999999998,0.696,0.7163999999999999,0.008
41.0,192.0,17,0.024479166666666666,0.0,0.015625,0.28125,0.0671875,0.034895833333333334,0.6765625000000001,0.7010416666666667,0.015625
30.0,174.0,20,0.03333333333333333,0.0,0.017241379310344827,0.3045977011494253,0.06724137931034482,0.04482758620689655,0.653448275862069,0.6867816091954023,0.017241379310344827
37.0,220.0,20,0.02681818181818182,0.0,0.004545454545454545,0.23636363636363636,0.01681818181818182,0.02681818181818182,0.5304545454545455,0.5572727272727274,0.004545454545454545
28.0,181.0,5,0.03591160220994475,0.011049723756906077,0.03314917127071823,0.287292817679558,0.020441988950276244,0.052486187845303865,1.0149171270718231,1.050828729281768,0.03314917127071823
26.0,188.0,14,0.03829787234042553,0.005319148936170213,0.010638297872340425,0.2765957446808511,0.04680851063829788,0.03829787234042553,0.4297872340425532,0.46808510638297873,0.010638297872340425
23.0,201.0,1,0.043283582089552235,0.009950248756218905,0.014925373134328358,0.25870646766169153,0.06616915422885572,0.043283582089552235,0.5238805970149254,0.5671641791044776,0.014925373134328358
24.0,191.0,15,0.041884816753926704,0.0,0.010471204188481676,0.2670157068062827,0.03821989528795811,0.04712041884816754,0.5670157068062827,0.6089005235602094,0.010471204188481676
42.0,309.0,3,0.02394822006472492,0.0,0.003236245954692557,0.1650485436893204,0.023624595469255664,0.027184466019417475,0.612621359223301,0.6365695792880259,0.003236245954692557
37.0,254.0,20,0.027165354330708665,0.003937007874015748,0.01968503937007874,0.20078740157480315,0.05354330708661417,0.031102362204724412,0.7267716535433071,0.7539370078740157,0.01968503937007874
25.0,262.0,1,0.04007633587786259,0.003816793893129771,0.011450381679389313,0.1946564885496183,0.06259541984732823,0.04007633587786259,0.5129770992366413,0.5530534351145039,0.011450381679389313
16.0,81.0,5,0.06296296296296296,0.018518518518518517,0.06172839506172839,0.6296296296296297,0.12962962962962962,0.09999999999999999,0.7407407407407407,0.8037037037037036,0.06172839506172839
25.0,146.0,17,0.03972602739726027,0.003424657534246575,0.0136986301369863,0.3424657534246575,0.09452054794520548,0.03972602739726027,0.7006849315068493,0.7404109589041096,0.0136986301369863
28.0,143.0,30,0.03566433566433566,0.006993006993006993,0.03496503496503497,0.34965034965034963,0.02657342657342657,0.049650349650349646,0.5300699300699301,0.5657342657342657,0.03496503496503497
31.0,239.0,30,0.03221757322175732,0.0,0.0041841004184100415,0.20502092050209206,0.03891213389121339,0.03640167364016736,0.46569037656903767,0.497907949790795,0.0041841004184100415
31.0,149.0,15,0.03221476510067114,0.010067114093959731,0.04697986577181208,0.3288590604026846,0.08389261744966443,0.038926174496644296,0.9194630872483222,0.9516778523489934,0.04697986577181208
19.0,91.0,1,0.05274725274725275,0.016483516483516484,0.0989010989010989,0.5274725274725275,0.08461538461538462,0.08571428571428572,1.134065934065934,1.1868131868131868,0.0989010989010989
29.0,357.0,13,0.034453781512605045,0.0,0.0028011204481792717,0.12885154061624648,0.022408963585434174,0.03725490196078431,0.13725490196078433,0.17170868347338936,0.0028011204481792717
20.0,132.0,15,0.049999999999999996,0.0,0.030303030303030304,0.3484848484848485,0.06060606060606061,0.05757575757575757,0.32575757575757575,0.3757575757575758,0.030303030303030304
27.0,229.0,5,0.03711790393013101,0.0,0.004366812227074236,0.20087336244541484,0.05764192139737991,0.04148471615720524,0.6864628820960699,0.7235807860262008,0.004366812227074236
50.0,410.0,13,0.019999999999999997,0.0,0.0024390243902439024,0.11219512195121951,0.014878048780487804,0.019999999999999997,0.26121951219512196,0.2812195121951219,0.0024390243902439024
13.0,104.0,23,0.07692307692307693,0.0,0.009615384615384616,0.11538461538461539,0.07403846153846154,0.07692307692307693,0.2759615384615385,0.3528846153846154,0.009615384615384616
16.0,94.0,16,0.06276595744680852,0.0,0.010638297872340425,0.4787234042553192,0.045744680851063826,0.06276595744680852,0.42872340425531913,0.4914893617021276,0.010638297872340425
23.0,156.0,17,0.04358974358974359,0.0,0.00641025641025641,0.28846153846153844,0.027564102564102563,0.04358974358974359,0.7134615384615385,0.757051282051282,0.00641025641025641
23.0,177.0,17,0.04350282485875706,0.0,0.011299435028248588,0.2542372881355932,0.06666666666666667,0.05480225988700565,0.48474576271186437,0.5282485875706214,0.011299435028248588
38.0,249.0,12,0.02650602409638554,0.004016064257028112,0.004016064257028112,0.18072289156626506,0.008835341365461848,0.02650602409638554,0.3662650602409639,0.39277108433734936,0.004016064257028112
