age,games_played,team_encoded,total_touches_per_game,yards_per_touch,total_yards_per_game,total_tds_per_game,receiving_percentage,target
29,8,27,10.2,0.06617647058823531,0.675,131.125,0.9068627450980393,0.675
23,7,27,7.3999999999999995,0.13320463320463322,0.9857142857142858,137.42857142857142,0.8108108108108109,0.9857142857142858
26,7,10,2.914285714285714,0.29901960784313725,0.8714285714285713,120.28571428571429,0.6862745098039216,0.8714285714285713
23,7,1,11.671428571428573,0.19216646266829865,2.242857142857143,118.57142857142857,0.8567931456548348,2.242857142857143
24,8,16,6.8375,0.09872029250457039,0.675,96.75,0.9140767824497257,0.675
24,8,4,4.4875,0.15320334261838442,0.6875,94.875,0.8356545961002786,0.6875
25,8,31,13.2875,0.09501411100658513,1.2625,90.75,0.9313264346190029,1.2625
27,8,0,3.0125,0.25311203319502074,0.7625,90.75,0.7053941908713692,0.7625
25,8,20,4.5875,0.1335149863760218,0.6125,90.75,0.9264305177111716,0.6125
23,7,5,4.985714285714286,0.15759312320916907,0.7857142857142857,102.85714285714286,0.8022922636103152,0.7857142857142857
24,8,20,9.2375,0.21515561569688768,1.9875,85.625,0.8525033829499322,1.9875
24,6,24,12.416666666666666,0.1570469798657718,1.95,111.33333333333333,0.87248322147651,1.95
27,8,12,1.8375,0.35374149659863946,0.65,83.25,0.8163265306122449,0.65
26,7,21,4.571428571428571,0.175,0.7999999999999999,93.71428571428571,0.75,0.7999999999999999
27,7,25,4.4714285714285715,0.14376996805111822,0.6428571428571429,91.14285714285714,0.7348242811501597,0.6428571428571429
25,7,24,4.628571428571428,0.154320987654321,0.7142857142857143,91.14285714285714,0.8024691358024691,0.7142857142857143
23,8,21,4.8125,0.1272727272727273,0.6125,77.125,0.8311688311688312,0.6125
26,7,0,10.37142857142857,0.19834710743801656,2.0571428571428574,86.57142857142857,0.8677685950413224,2.0571428571428574
26,7,20,3.6571428571428575,0.2109375,0.7714285714285715,84.85714285714286,0.859375,0.7714285714285715
27,8,6,8.2125,0.2039573820395738,1.675,73.5,0.837138508371385,1.675
23,8,16,8.9875,0.2211404728789986,1.9875,71.375,0.8762169680111265,1.9875
27,6,5,5.1499999999999995,0.18122977346278316,0.9333333333333332,94.66666666666667,0.7119741100323624,0.9333333333333332
28,8,24,3.5,0.15714285714285717,0.55,69.375,0.7857142857142857,0.55
31,7,5,1.9857142857142858,0.3525179856115108,0.7000000000000001,79.14285714285714,0.6474820143884892,0.7000000000000001
26,7,5,9.971428571428572,0.14756446991404013,1.4714285714285715,78.14285714285714,0.8739255014326648,1.4714285714285715
22,7,22,2.7142857142857144,0.2210526315789474,0.6,78.0,0.7894736842105263,0.6
30,8,12,8.2,0.2210365853658537,1.8125,67.0,0.853658536585366,1.8125
22,7,29,3.4714285714285715,0.1728395061728395,0.6,75.85714285714286,0.823045267489712,0.6
22,8,0,8.8875,0.19409282700421943,1.725,64.0,0.8860759493670887,1.725
30,8,30,4.4625,0.11204481792717086,0.5,63.75,0.8683473389355741,0.5
25,8,31,4.3875,0.11965811965811966,0.525,63.625,0.8831908831908831,0.525
25,7,5,9.114285714285714,0.1755485893416928,1.5999999999999999,72.28571428571429,0.8620689655172414,1.5999999999999999
27,8,16,7.5125,0.23960066555740434,1.8,63.0,0.8319467554076538,1.8
25,8,30,11.1375,0.10549943883277217,1.175,62.5,0.931537598204265,1.175
23,8,13,7.475,0.20234113712374582,1.5125,62.25,0.8361204013377926,1.5125
24,8,21,8.2125,0.1933028919330289,1.5875,62.0,0.867579908675799,1.5875
25,7,1,2.257142857142857,0.30379746835443033,0.6857142857142857,70.14285714285714,0.5696202531645569,0.6857142857142857
33,8,5,9.6,0.13020833333333334,1.25,59.875,0.9114583333333334,1.25
36,8,25,7.2375,0.2210708117443869,1.6,59.25,0.8290155440414508,1.6
23,7,21,9.200000000000001,0.23757763975155277,2.185714285714286,67.57142857142857,0.8695652173913043,2.185714285714286
25,7,25,7.485714285714286,0.2900763358778626,2.1714285714285713,67.42857142857143,0.7824427480916031,2.1714285714285713
32,8,17,7.325,0.1911262798634812,1.4,58.75,0.8361774744027304,1.4
24,6,27,11.733333333333334,0.1747159090909091,2.0500000000000003,78.16666666666667,0.8948863636363635,2.0500000000000003
24,8,5,9.3625,0.14552736982643524,1.3625,58.5,0.9078771695594124,1.3625
24,8,1,2.0625,0.3151515151515152,0.65,57.75,0.6666666666666666,0.65
28,7,5,7.671428571428572,0.31843575418994413,2.442857142857143,65.85714285714286,0.8007448789571694,2.442857142857143
28,7,5,2.914285714285714,0.25,0.7285714285714285,64.42857142857143,0.6372549019607844,0.7285714285714285
22,5,5,5.64,0.1843971631205674,1.04,90.0,0.7801418439716312,1.04
27,8,17,3.4875,0.16129032258064516,0.5625,56.0,0.6810035842293907,0.5625
28,8,13,8.0,0.1625,1.3,55.75,0.875,1.3
27,8,30,8.075,0.16408668730650156,1.325,54.5,0.8823529411764707,1.325
33,7,24,9.971428571428572,0.19914040114613182,1.9857142857142858,61.57142857142857,0.9025787965616047,1.9857142857142858
23,8,17,5.55,0.42117117117117114,2.3375,53.875,0.6756756756756757,2.3375
23,4,16,7.3,0.1643835616438356,1.2,107.5,0.6506849315068494,1.2
30,7,27,7.142857142857143,0.306,2.185714285714286,61.285714285714285,0.78,2.185714285714286
26,7,26,10.342857142857143,0.12430939226519336,1.2857142857142858,60.142857142857146,0.9116022099447513,1.2857142857142858
26,7,0,2.157142857142857,0.2847682119205298,0.6142857142857142,60.0,0.794701986754967,0.6142857142857142
