age,games_played,team_encoded,receptions_per_game,yards_per_reception,yards_per_game,target
29,8,27,9.25,0.7567567567567568,7.0,9.25
24,6,24,10.833333333333334,0.8307692307692308,9.0,10.833333333333334
25,8,30,10.375,0.6265060240963856,6.5,10.375
26,8,20,7.375,0.864406779661017,6.375,7.375
23,7,1,10.0,0.7142857142857143,7.142857142857143,10.0
26,7,5,8.714285714285714,0.819672131147541,7.142857142857143,8.714285714285714
33,8,5,8.75,0.6857142857142857,6.0,8.75
26,7,26,9.428571428571429,0.7121212121212122,6.714285714285714,9.428571428571429
27,8,6,6.875,0.8,5.5,6.875
24,8,5,8.5,0.6323529411764706,5.375,8.5
24,8,20,7.875,0.6825396825396826,5.375,7.875
28,8,13,7.0,0.7678571428571429,5.375,7.0
32,8,17,6.125,0.8571428571428571,5.25,6.125
25,7,5,7.857142857142857,0.7454545454545455,5.857142857142857,7.857142857142857
26,7,0,9.0,0.6507936507936508,5.857142857142857,9.0
25,7,27,6.714285714285714,0.8297872340425532,5.571428571428571,6.714285714285714
27,8,30,7.125,0.6842105263157895,4.875,7.125
21,8,22,6.375,0.7450980392156863,4.75,6.375
24,6,27,10.5,0.6031746031746031,6.333333333333333,10.5
24,8,21,7.125,0.6666666666666666,4.75,7.125
24,8,16,6.25,0.74,4.625,6.25
36,8,25,6.0,0.7708333333333334,4.625,6.0
22,8,0,7.875,0.5873015873015873,4.625,7.875
29,7,1,7.0,0.7551020408163265,5.285714285714286,7.0
30,8,12,7.0,0.6607142857142857,4.625,7.0
23,8,13,6.25,0.74,4.625,6.25
29,8,30,6.5,0.6923076923076923,4.5,6.5
25,6,4,9.333333333333334,0.6428571428571429,6.0,9.333333333333334
27,8,16,6.25,0.7,4.375,6.25
23,8,16,7.875,0.5396825396825397,4.25,7.875
22,8,12,6.75,0.6111111111111112,4.125,6.75
23,7,27,6.0,0.7857142857142857,4.714285714285714,6.0
28,8,25,6.125,0.6530612244897959,4.0,6.125
29,7,19,5.714285714285714,0.8,4.571428571428571,5.714285714285714
33,7,24,9.0,0.49206349206349204,4.428571428571429,9.0
23,7,21,8.0,0.5535714285714286,4.428571428571429,8.0
25,7,10,5.857142857142857,0.7560975609756098,4.428571428571429,5.857142857142857
30,7,6,5.571428571428571,0.7692307692307693,4.285714285714286,5.571428571428571
25,7,25,5.857142857142857,0.7317073170731707,4.285714285714286,5.857142857142857
28,7,6,7.285714285714286,0.5686274509803921,4.142857142857143,7.285714285714286
24,7,13,5.285714285714286,0.7837837837837838,4.142857142857143,5.285714285714286
24,7,5,5.142857142857143,0.8055555555555556,4.142857142857143,5.142857142857143
29,6,29,7.166666666666667,0.6744186046511628,4.833333333333333,7.166666666666667
21,8,4,5.25,0.6904761904761905,3.625,5.25
24,7,29,5.571428571428571,0.7435897435897436,4.142857142857143,5.571428571428571
30,7,27,5.571428571428571,0.717948717948718,4.0,5.571428571428571
22,7,20,6.428571428571429,0.6222222222222222,4.0,6.428571428571429
24,7,5,6.571428571428571,0.6086956521739131,4.0,6.571428571428571
26,5,20,8.4,0.6666666666666666,5.6,8.4
22,7,10,5.571428571428571,0.6923076923076923,3.857142857142857,5.571428571428571
25,7,25,6.0,0.6428571428571429,3.857142857142857,6.0
35,8,1,5.0,0.675,3.375,5.0
22,6,5,5.5,0.8181818181818182,4.5,5.5
28,7,0,5.142857142857143,0.75,3.857142857142857,5.142857142857143
30,8,30,3.875,0.8709677419354839,3.375,3.875
28,7,5,6.142857142857143,0.627906976744186,3.857142857142857,6.142857142857143
29,7,22,5.857142857142857,0.6585365853658537,3.857142857142857,5.857142857142857
26,8,24,4.625,0.7297297297297297,3.375,4.625
32,8,16,4.5,0.75,3.375,4.5
23,7,20,7.857142857142857,0.4909090909090909,3.857142857142857,7.857142857142857
26,6,19,7.666666666666667,0.5652173913043478,4.333333333333333,7.666666666666667
31,7,12,5.285714285714286,0.7027027027027027,3.7142857142857144,5.285714285714286
23,7,5,4.0,0.9285714285714286,3.7142857142857144,4.0
28,7,21,5.428571428571429,0.6842105263157895,3.7142857142857144,5.428571428571429
26,8,16,4.5,0.7222222222222222,3.25,4.5
26,8,27,4.375,0.7428571428571429,3.25,4.375
25,8,31,3.875,0.8064516129032258,3.125,3.875
31,8,17,4.625,0.6756756756756757,3.125,4.625
26,8,31,5.875,0.5319148936170213,3.125,5.875
26,8,13,3.375,0.9259259259259259,3.125,3.375
24,8,16,4.75,0.6578947368421053,3.125,4.75
28,7,21,5.428571428571429,0.6578947368421053,3.5714285714285716,5.428571428571429
23,7,26,5.714285714285714,0.6,3.4285714285714284,5.714285714285714
32,7,1,4.714285714285714,0.7272727272727273,3.4285714285714284,4.714285714285714
23,8,21,4.0,0.75,3.0,4.0
29,8,25,3.625,0.8275862068965517,3.0,3.625
25,8,20,4.25,0.7058823529411765,3.0,4.25
22,8,24,5.875,0.48936170212765956,2.875,5.875
23,8,17,3.75,0.7666666666666667,2.875,3.75
28,7,31,3.5714285714285716,0.92,3.2857142857142856,3.5714285714285716
26,7,5,3.7142857142857144,0.8846153846153846,3.2857142857142856,3.7142857142857144
24,8,21,4.625,0.6216216216216216,2.875,4.625
26,8,22,6.75,0.4074074074074074,2.75,6.75
23,8,12,4.0,0.6875,2.75,4.0
30,7,5,4.142857142857143,0.7586206896551724,3.142857142857143,4.142857142857143
23,4,0,7.5,0.7,5.25,7.5
26,8,22,3.125,0.84,2.625,3.125
22,7,25,3.7142857142857144,0.8076923076923077,3.0,3.7142857142857144
24,8,4,3.75,0.7,2.625,3.75
31,4,16,7.25,0.7241379310344828,5.25,7.25
26,6,10,4.5,0.7777777777777778,3.5,4.5
26,8,16,3.0,0.875,2.625,3.0
22,6,25,5.5,0.6363636363636364,3.5,5.5
24,8,24,3.75,0.6666666666666666,2.5,3.75
22,5,5,4.4,0.9090909090909091,4.0,4.4
25,4,27,7.25,0.6896551724137931,5.0,7.25
21,8,22,2.875,0.8695652173913043,2.5,2.875
25,5,20,4.8,0.8333333333333334,4.0,4.8
25,7,24,3.7142857142857144,0.7692307692307693,2.857142857142857,3.7142857142857144
23,4,29,6.75,0.7037037037037037,4.75,6.75
23,8,24,3.0,0.7916666666666666,2.375,3.0
23,4,16,4.75,1.0,4.75,4.75
27,7,25,3.2857142857142856,0.8260869565217391,2.7142857142857144,3.2857142857142856
24,6,0,5.666666666666667,0.5588235294117647,3.1666666666666665,5.666666666666667
27,6,5,3.6666666666666665,0.8636363636363636,3.1666666666666665,3.6666666666666665
23,7,1,3.142857142857143,0.8181818181818182,2.5714285714285716,3.142857142857143
24,8,12,2.625,0.8571428571428571,2.25,2.625
28,7,5,3.2857142857142856,0.782608695652174,2.5714285714285716,3.2857142857142856
32,8,17,2.625,0.8571428571428571,2.25,2.625
25,7,19,3.4285714285714284,0.75,2.5714285714285716,3.4285714285714284
28,6,27,6.0,0.5,3.0,6.0
22,4,21,8.75,0.5142857142857142,4.5,8.75
25,6,13,5.333333333333333,0.5625,3.0,5.333333333333333
28,8,24,2.75,0.8181818181818182,2.25,2.75
26,7,21,3.4285714285714284,0.75,2.5714285714285716,3.4285714285714284
25,8,0,2.75,0.8181818181818182,2.25,2.75
32,8,30,2.75,0.7727272727272727,2.125,2.75
24,7,5,4.285714285714286,0.5666666666666667,2.4285714285714284,4.285714285714286
26,6,20,4.5,0.5925925925925926,2.6666666666666665,4.5
27,7,5,3.0,0.7619047619047619,2.2857142857142856,3.0
23,8,17,2.25,0.8888888888888888,2.0,2.25
25,2,25,9.5,0.8421052631578947,8.0,9.5
31,6,24,5.833333333333333,0.45714285714285713,2.6666666666666665,5.833333333333333
27,8,17,2.375,0.8421052631578947,2.0,2.375
27,7,26,2.2857142857142856,0.9375,2.142857142857143,2.2857142857142856
26,6,0,3.5,0.7142857142857143,2.5,3.5
22,7,29,2.857142857142857,0.75,2.142857142857143,2.857142857142857
23,7,16,3.5714285714285716,0.6,2.142857142857143,3.5714285714285716
30,6,0,4.333333333333333,0.5769230769230769,2.5,4.333333333333333
25,7,26,3.857142857142857,0.5555555555555556,2.142857142857143,3.857142857142857
26,5,5,4.6,0.6086956521739131,2.8,4.6
