player_id,player_name,season,week,opponent_team,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,fantasy_points_ppr,fantasy_points
00-0027061,J.Cook,2020,8,CHI,5,7,51.0,1,0.0,0.0,60.0,12.0,3.0,5.790111107751727,0,16.1,11.100000000000001
00-0027061,J.Cook,2020,9,TB,2,3,30.0,0,1.0,1.0,31.0,7.0,1.0,-3.2981752990861954,0,3.0,1.0
00-0027061,J.Cook,2020,10,SF,0,2,0.0,0,0.0,0.0,33.0,0.0,0.0,-2.2264986988157034,0,0.0,0.0
00-0027061,J.Cook,2020,11,ATL,1,1,6.0,0,0.0,0.0,6.0,0.0,1.0,2.062723262148211,0,1.6,0.6000000000000001
00-0027061,J.Cook,2020,12,DEN,0,2,0.0,0,0.0,0.0,41.0,0.0,0.0,-1.1772811696864665,0,0.0,0.0
00-0027061,J.Cook,2020,13,ATL,3,5,28.0,1,0.0,0.0,47.0,1.0,3.0,1.9084756374941207,0,11.8,8.8
00-0027061,J.Cook,2020,14,PHI,3,4,37.0,1,0.0,0.0,41.0,11.0,2.0,5.096858079254162,0,12.7,9.7
00-0027061,J.Cook,2020,15,KC,2,5,29.0,0,0.0,0.0,82.0,7.0,1.0,1.8478192475158721,0,4.9,2.9000000000000004
00-0027061,J.Cook,2020,16,MIN,3,4,82.0,0,0.0,0.0,55.0,39.0,3.0,2.7387094763980713,0,11.200000000000001,8.200000000000001
00-0027061,J.Cook,2020,17,CAR,4,5,43.0,1,0.0,0.0,50.0,8.0,3.0,3.687299171155465,0,14.3,10.3
00-0027061,J.Cook,2020,18,CHI,4,7,40.0,0,0.0,0.0,64.0,13.0,2.0,-0.9876411732984707,0,8.0,4.0
00-0027061,J.Cook,2020,19,TB,5,7,28.0,0,1.0,1.0,53.0,10.0,0.0,-10.547394837834872,0,5.800000000000001,0.8000000000000003
00-0027656,R.Gronkowski,2020,1,NO,2,3,11.0,0,0.0,0.0,22.0,16.0,0.0,-0.5680996680166572,0,3.1,1.1
00-0027656,R.Gronkowski,2020,2,CAR,0,1,0.0,0,0.0,0.0,18.0,0.0,0.0,-7.23708908772096,0,0.0,0.0
