player_id,player_name,season,week,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,fantasy_points_ppr,fantasy_points
00-0022924,B.Roethlisberger,2020,1,NYG,21,32,229.0,3,0.0,2.0,21.0,221.0,105.0,14.0,15.101035712175156,0,22.06,22.06
00-0022924,B.Roethlisberger,2020,2,DEN,29,41,311.0,2,1.0,1.0,10.0,233.0,168.0,15.0,1.1079273030045442,0,18.24,18.24
00-0022924,B.Roethlisberger,2020,3,HOU,23,36,237.0,2,0.0,2.0,19.0,323.0,140.0,13.0,8.591037958793612,1,19.18,19.18
00-0022924,B.Roethlisberger,2020,5,PHI,27,34,239.0,3,0.0,1.0,8.0,196.0,138.0,13.0,15.845100465546217,0,21.360000000000003,21.360000000000003
00-0022924,B.Roethlisberger,2020,6,CLE,14,22,162.0,1,0.0,2.0,20.0,173.0,64.0,5.0,1.1267926122035683,0,10.98,10.98
00-0022924,B.Roethlisberger,2020,7,TEN,32,49,268.0,2,3.0,0.0,-0.0,266.0,158.0,15.0,6.070135846565593,0,12.62,12.62
00-0022924,B.Roethlisberger,2020,8,BAL,21,32,182.0,2,0.0,2.0,9.0,232.0,93.0,11.0,5.3780605486244895,0,15.280000000000001,15.280000000000001
00-0022924,B.Roethlisberger,2020,9,DAL,29,42,306.0,3,0.0,0.0,-0.0,313.0,185.0,15.0,11.881268290428181,0,25.040000000000003,25.040000000000003
00-0022924,B.Roethlisberger,2020,10,CIN,27,46,333.0,4,0.0,0.0,-0.0,431.0,152.0,17.0,11.557693506700021,0,29.32,29.32
00-0022924,B.Roethlisberger,2020,11,JAX,32,46,267.0,2,1.0,0.0,-0.0,372.0,111.0,12.0,6.681690510028561,0,16.68,16.68
00-0022924,B.Roethlisberger,2020,12,BAL,36,51,266.0,1,1.0,0.0,-0.0,249.0,135.0,16.0,-4.719564125690049,0,12.540000000000001,12.540000000000001
00-0022924,B.Roethlisberger,2020,13,WAS,33,53,305.0,2,1.0,0.0,-0.0,325.0,149.0,13.0,-2.3491500414476145,0,18.200000000000003,18.200000000000003
00-0022924,B.Roethlisberger,2020,14,BUF,21,37,187.0,2,2.0,1.0,10.0,242.0,116.0,10.0,-13.88479460310191,1,13.48,13.48
00-0022924,B.Roethlisberger,2020,15,CIN,20,38,170.0,1,1.0,1.0,12.0,307.0,105.0,6.0,-10.24241372633328,0,6.700000000000001,6.700000000000001
00-0022924,B.Roethlisberger,2020,16,IND,34,49,341.0,3,0.0,1.0,9.0,342.0,137.0,18.0,2.9660411556251347,0,25.54,25.54
00-0022924,B.Roethlisberger,2020,18,CLE,47,68,501.0,4,4.0,0.0,-0.0,565.0,183.0,29.0,7.928173079035699,1,30.04,30.04
00-0022942,P.Rivers,2020,1,JAX,36,46,363.0,1,2.0,0.0,-0.0,289.0,212.0,17.0,9.91244937595375,0,14.82,14.82
00-0022942,P.Rivers,2020,2,MIN,19,25,214.0,1,1.0,2.0,11.0,219.0,108.0,10.0,2.8611422983273043,0,10.860000000000001,10.860000000000001
00-0022942,P.Rivers,2020,3,NYJ,17,21,217.0,1,0.0,0.0,-0.0,136.0,101.0,13.0,9.94697958603519,0,12.68,12.68
00-0022942,P.Rivers,2020,4,CHI,16,29,190.0,1,0.0,1.0,4.0,230.0,73.0,9.0,6.719013260281345,0,11.200000000000001,11.200000000000001
00-0022942,P.Rivers,2020,5,CLE,21,33,243.0,0,2.0,1.0,3.0,268.0,96.0,10.0,-6.862817251179804,0,5.620000000000001,5.620000000000001
00-0022942,P.Rivers,2020,6,CIN,29,44,371.0,3,1.0,1.0,-0.0,340.0,174.0,18.0,18.38617911932893,0,24.74,24.74
00-0022942,P.Rivers,2020,8,DET,23,33,262.0,3,0.0,2.0,15.0,211.0,143.0,15.0,17.67825495096622,0,22.28,22.28
00-0022942,P.Rivers,2020,9,BAL,25,43,227.0,0,1.0,0.0,-0.0,271.0,169.0,11.0,-13.752143334260216,0,7.08,7.08
00-0022942,P.Rivers,2020,10,TEN,29,39,308.0,1,0.0,1.0,11.0,192.0,205.0,14.0,14.983296881347611,0,16.32,16.32
