,accuracy,auc,baseline,hit_rate,improvement
above_median_yards,0.7687679967091732,0.49636211366277566,0.843428630193336,0.15657136980666392,-0.07466063348416285
any_touchdown,0.7306149732620321,0.49149241310461617,0.8316536404771699,0.1683463595228301,-0.10103866721513788
frequent_player,0.49496092143150966,0.5014557320883997,0.5303887289181407,0.5303887289181407,-0.03542780748663105
starter_level,0.5740436034553682,0.49544514010107754,0.6440765117235705,0.35592348827642944,-0.0700329082682023
veteran_player,0.6788872891814068,0.5013089401125499,0.7487659399424105,0.25123406005758947,-0.06987865076100364
prime_age_player,0.5200534759358288,0.5057530787316461,0.5433977786918963,0.4566022213081037,-0.02334430275606747
consistent_performer,0.7570958453311395,0.4955394106799016,0.8440456602221308,0.15595433977786918,-0.0869498148909913
