,accuracy,auc,baseline,improvement,hit_rate
rb_over_100_yards,0.5305064782096585,0.5004675023071823,0.9122497055359247,-0.3817432273262662,0.08775029446407538
rb_over_50_yards,0.48138987043580683,0.5052607496420396,0.8906949352179034,-0.4093050647820966,0.10930506478209659
wr_over_80_yards,0.5758539458186102,0.5038915570679124,0.8665488810365135,-0.29069493521790335,0.13345111896348646
wr_over_60_yards,0.5409893992932863,0.4891583982202447,0.8539458186101295,-0.31295641931684326,0.14605418138987045
player_over_25_yards,0.48197879858657244,0.5014452421896589,0.6106007067137809,-0.12862190812720842,0.3893992932862191
player_over_75_yards,0.5025912838633687,0.5000768785568764,0.7018845700824499,-0.19929328621908116,0.2981154299175501
player_scores_td,0.4983510011778563,0.5034740821377077,0.6074204946996467,-0.10906949352179035,0.39257950530035335
