Rk,Player,Age,Team,Pos,G,GS,FGA_0_19,FGM_0_19,FGA_20_29,FGM_20_29,FGA_30_39,FGM_30_39,FGA_40_49,FGM_40_49,FGA_50_plus,FGM_50_plus,FGA_Total,FGM_Total,Lng,FG_Pct,XPA,XPM,XP_Pct,KO,KO_Yds,TB,TB_Pct,KO_Avg,Awards,Player_ID
33,Cairo Santos,27,TAM,K,7,0,0.0,0,2,2,4,4,5,3,1,0,12,9,45,75.0,17,17,100.0,36,2156,12,33.3,60,,SantCa01
34,Zane Gonzalez,23,2TM,K,7,0,0.0,0,1,1,4,4,4,2,5,2,14,9,55,64.3,11,8,72.7,28,1802,17,60.7,64,,GonzZa00
34,Zane Gonzalez,23,CLE,K,2,0,0.0,0,0,0,2,2,2,0,1,0,5,2,39,40.0,5,3,60.0,9,576,5,55.6,64,,GonzZa00
34,Zane Gonzalez,23,ARI,K,5,0,0.0,0,1,1,2,2,2,2,4,2,9,7,55,77.8,6,5,83.3,19,1226,12,63.2,65,,GonzZa00
35,Matthew McCrane,24,3TM,K,5,0,0.0,0,3,3,2,2,5,3,2,0,12,8,47,66.7,9,9,100.0,21,1250,5,23.8,60,,McCrMa00
35,Matthew McCrane,24,OAK,K,3,0,0.0,0,3,3,0,0,4,2,2,0,9,5,44,55.6,5,5,100.0,13,761,3,23.1,59,,McCrMa00
35,Matthew McCrane,24,ARI,K,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,3,3,100.0,4,258,2,50.0,65,,McCrMa00
35,Matthew McCrane,24,PIT,K,1,0,0.0,0,0,0,2,2,1,1,0,0,3,3,47,100.0,1,1,100.0,4,231,0,0.0,58,,McCrMa00
36,Phil Dawson,43,ARI,K,10,0,0.0,0,2,2,2,2,3,1,1,0,8,5,43,62.5,15,15,100.0,32,1982,14,43.8,62,,dawsophi01
37,Mike Nugent,36,OAK,K,3,0,0.0,0,3,3,0,0,2,2,1,1,6,6,52,100.0,5,4,80.0,14,858,6,42.9,61,,nugenmik01
38,Kai Forbath,31,JAX,K,3,0,0.0,0,2,2,1,1,1,1,1,0,5,4,41,80.0,3,3,100.0,0,0,0,,,,ForbKa00
39,Giorgio Tavecchio,28,ATL,K,3,0,0.0,0,1,1,0,0,2,2,2,2,5,5,56,100.0,8,8,100.0,0,0,0,,,,TaveGi00
40,Sam Ficken,26,LAR,K,2,0,0.0,0,1,0,1,1,1,0,0,0,3,1,34,33.3,10,10,100.0,13,804,11,84.6,62,,FickSa00
41,Johnny Hekker,28,LAR,P,16,0,0.0,0,1,1,0,0,0,0,0,0,1,1,20,100.0,1,1,100.0,6,381,2,33.3,64,AP-2,HekkJo00
42,Bryan Anger,30,TAM,P,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,73,0,0.0,73,,AngeBr00
43,Daren Bates,28,TEN,LB,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,13,0,0.0,13,,BateDa00
44,Matthew Bosher,31,ATL,P,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,89,5578,51,57.3,63,,BoshMa00
45,Britton Colquitt,33,CLE,P,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,56,0,0.0,56,,ColqBr00
46,Dustin Colquitt,36,KAN,P,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,60,0,0.0,60,,ColqDu20
47,Logan Cooke,23,JAX,P,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,10,625,5,50.0,63,,CookLo00
48,Michael Dickson,22,SEA,P,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,9,407,0,0.0,45,PBAP-1,DickMi00
49,Lac Edwards,26,NYJ,P,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,56,0,0.0,56,,EdwaLa01
50,Brett Kern,32,TEN,P,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,43,0,0.0,43,PB,KernBr20
51,Andy Lee,36,ARI,P,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,68,0,0.0,68,,LeexAn20
52,Sam Martin,28,DET,P,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,73,4459,34,46.6,61,,MartSa01
53,Thomas Morstead,32,NOR,P,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,2,95,0,0.0,48,,MorsTh00
54,Bradley Pinion,24,SFO,P,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,77,4963,52,67.5,65,,PiniBr00
55,Rigoberto Sanchez,24,IND,P,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,88,5435,59,67.0,62,,SancRi00
56,JK Scott,23,GNB,P,16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,61,0,0.0,61,,ScotJK00
1,Harrison Butker,22,KAN,K,13,0,0.0,0,8,8,17,16,12,10,5,4,42,38,53,90.5,28,28,100.0,78,5006,61,78.2,64,,ButkHa00
2,Ryan Succop,31,TEN,K,16,0,0.0,0,10,10,7,7,20,16,5,2,42,35,52,83.3,33,31,93.9,80,5120,47,58.8,64,,SuccRy44
3,Robbie Gould,35,SFO,K,16,0,0.0,0,8,7,11,11,18,17,4,4,41,39,52,95.1,30,28,93.3,4,101,0,0.0,25,,gouldrob01
4,Phil Dawson,42,ARI,K,16,0,1.0,1,7,7,14,10,13,10,5,4,40,32,57,80.0,26,23,88.5,76,4647,34,44.7,61,,dawsophi01
5,Stephen Gostkowski,33,NWE,K,16,0,0.0,0,16,16,9,9,11,8,4,4,40,37,62,92.5,47,45,95.7,99,6228,40,40.4,63,,GostSt20
6,Greg Zuerlein,30,LAR,K,14,0,1.0,1,8,8,12,11,12,12,7,6,40,38,56,95.0,46,44,95.7,95,6075,73,76.8,64,PBAP-1,ZuerGr00
7,Matt Bryant,42,ATL,K,16,0,1.0,1,6,6,13,10,10,9,9,8,39,34,57,87.2,35,35,100.0,0,0,0,,,,bryanmat01
8,Chris Boswell,26,PIT,K,16,0,0.0,0,10,10,14,12,10,9,4,4,38,35,53,92.1,39,37,94.9,90,5681,46,51.1,63,PB,BoswCh00
9,Kai Forbath,30,MIN,K,16,0,0.0,0,8,8,14,12,7,6,9,6,38,32,53,84.2,39,34,87.2,88,5587,44,50.0,64,,ForbKa00
10,Justin Tucker,28,BAL,K,16,0,0.0,0,7,7,11,11,12,11,7,5,37,34,57,91.9,39,39,100.0,90,5601,55,61.1,62,AP-2,TuckJu00
11,Wil Lutz,23,NOR,K,16,0,0.0,0,10,10,5,4,16,13,5,4,36,31,53,86.1,50,47,94.0,94,5972,58,61.7,64,,LutzWi00
12,Matt Prater,33,DET,K,16,0,2.0,2,4,4,10,10,8,7,11,7,35,30,58,85.7,41,40,97.6,17,977,6,35.3,58,,PratMa20
13,Adam Vinatieri,45,IND,K,15,0,0.0,0,11,11,10,7,7,6,6,5,34,29,54,85.3,24,22,91.7,0,0,0,,,,vinatada01
14,Stephen Hauschka,32,BUF,K,16,0,0.0,0,6,6,9,9,9,7,9,7,33,29,56,87.9,29,29,100.0,74,4361,37,50.0,59,,HausSt00
15,Brandon McManus,26,DEN,K,16,0,0.0,0,8,6,12,11,6,4,6,3,32,24,53,75.0,27,27,100.0,71,4191,45,63.4,59,,McMaBr01
16,Jake Elliott,22,PHI,K,15,0,0.0,0,5,5,7,4,13,12,6,5,31,26,61,83.9,42,39,92.9,84,5212,42,50.0,62,,ElliJa03
17,Chandler Catanzaro,26,NYJ,K,16,0,1.0,1,6,6,4,4,17,12,2,2,30,25,57,83.3,29,29,100.0,71,4349,45,63.4,61,,CataCh00
18,Graham Gano,30,CAR,K,16,0,0.0,0,8,8,11,11,10,10,1,0,30,29,48,96.7,37,34,91.9,83,5313,70,84.3,64,PB,GanoGr44
19,Blair Walsh,27,SEA,K,16,0,0.0,0,6,6,10,7,12,8,1,0,29,21,49,72.4,38,37,97.4,78,4837,39,50.0,62,,WalsBl00
20,Ka'imi Fairbairn,23,HOU,K,16,0,0.0,0,4,3,10,8,7,6,4,3,25,20,55,80.0,35,32,91.4,75,4718,49,65.3,63,,FairKa01
21,Aldrick Rosas,23,NYG,K,16,0,0.0,0,8,8,5,3,9,4,3,3,25,18,52,72.0,23,20,87.0,62,3759,26,41.9,61,,RosaAl00
22,Patrick Murray,26,TAM,K,12,0,0.0,0,5,5,8,8,5,4,5,2,23,19,50,82.6,22,21,95.5,59,3590,14,23.7,61,,MurrPa01
23,Cody Parkey,25,MIA,K,16,0,0.0,0,6,6,8,8,7,6,2,1,23,21,54,91.3,29,26,89.7,67,4013,28,41.8,60,,ParkCo03
24,Giorgio Tavecchio,27,OAK,K,16,0,0.0,0,5,5,7,5,5,3,4,3,21,16,53,76.2,34,33,97.1,64,4058,48,75.0,63,,TaveGi00
25,Dan Bailey,29,DAL,K,12,0,1.0,1,4,3,5,4,5,4,5,3,20,15,56,75.0,28,26,92.9,56,3605,32,57.1,64,,BailDa00
26,Randy Bullock,28,CIN,K,15,0,0.0,0,6,6,8,7,5,4,1,1,20,18,51,90.0,33,31,93.9,65,4071,30,46.2,63,,BullRa00
27,Zane Gonzalez,22,CLE,K,16,0,0.0,0,5,5,6,4,6,4,3,2,20,15,54,75.0,26,25,96.2,56,3286,33,58.9,59,,GonzZa00
28,Josh Lambo,27,JAX,K,10,0,0.0,0,2,2,11,11,5,4,2,2,20,19,56,95.0,24,22,91.7,57,3322,22,38.6,58,,LambJo00
29,Mason Crosby,33,GNB,K,16,0,0.0,0,8,8,4,2,4,4,3,1,19,15,50,78.9,35,33,94.3,68,4248,36,52.9,63,,CrosMa20
30,Dustin Hopkins,27,WAS,K,8,0,1.0,1,7,7,2,2,5,4,2,0,17,14,49,82.4,19,18,94.7,40,2574,29,72.5,64,,HopkDu00
31,Connor Barth,31,CHI,K,10,0,1.0,1,4,4,0,0,9,5,2,1,16,11,54,68.8,17,17,100.0,37,2374,17,45.9,64,,barthco01
32,Jason Myers,26,JAX,K,6,0,0.0,0,4,4,3,2,5,5,3,0,15,11,47,73.3,17,15,88.2,35,2117,26,74.3,61,,MyerJa00
33,Nick Novak,36,LAC,K,7,0,0.0,0,4,4,5,4,2,0,2,1,13,9,50,69.2,18,17,94.4,0,0,0,,,,novaknic01
34,Nick Folk,33,TAM,K,4,0,0.0,0,2,2,2,1,5,2,2,1,11,6,50,54.5,9,7,77.8,18,1114,13,72.2,62,,FolkNi20
35,Nick Rose,23,2TM,K,10,0,0.0,0,6,6,4,3,2,1,2,1,14,11,55,78.6,26,23,88.5,38,2352,24,63.2,62,,RoseNi00
35,Nick Rose,23,WAS,K,8,0,0.0,0,5,5,4,3,1,1,1,1,11,10,55,90.9,20,18,90.0,38,2352,24,63.2,62,,RoseNi00
35,Nick Rose,23,LAC,K,2,0,0.0,0,1,1,0,0,1,0,1,0,3,1,25,33.3,6,5,83.3,0,0,0,,,,RoseNi00
36,Mike Nugent,35,2TM,K,8,0,0.0,0,3,3,4,3,5,4,1,1,13,11,55,84.6,17,15,88.2,36,2262,18,50.0,63,,nugenmik01
36,Mike Nugent,35,DAL,K,4,0,0.0,0,2,2,3,2,4,3,0,0,9,7,48,77.8,8,8,100.0,19,1246,11,57.9,66,,nugenmik01
36,Mike Nugent,35,CHI,K,4,0,0.0,0,1,1,1,1,1,1,1,1,4,4,55,100.0,9,7,77.8,17,1016,7,41.2,60,,nugenmik01
37,Travis Coons,25,LAC,K,3,0,0.0,0,4,4,3,2,1,1,0,0,8,7,40,87.5,6,5,83.3,0,0,0,,,,CoonTr00
38,Younghoe Koo,23,LAC,K,4,0,0.0,0,2,2,0,0,4,1,0,0,6,3,41,50.0,9,9,100.0,0,0,0,,,,KooxYo00
39,Sam Ficken,25,LAR,K,2,0,0.0,0,2,2,1,0,0,0,0,0,3,2,23,66.7,5,4,80.0,8,511,5,62.5,64,,FickSa00
40,Cairo Santos,26,2TM,K,5,0,0.0,0,0,0,4,4,0,0,1,0,5,4,39,80.0,14,14,100.0,20,1308,12,60.0,65,,SantCa01
