Rk,Player,Age,Team,Pos,G,GS,Pnt,Yds,Y/P,RetYds,NetYds,NY/P,Lng,TB,TB%,Pnt20,In20%,Blck,Awards,Year
11,Logan Cooke,29,JAX,P,17,0,68,3359,49.4,251,3048,44.8,73,3,4.4,34,50.0,0,2025
12,Rigoberto Sanchez,30,IND,P,17,0,68,3382,49.7,406,2896,42.6,65,4,5.9,27,39.7,0,2025
13,AJ Cole III,29,LVR,P,17,0,65,3304,50.8,294,2850,42.5,71,8,12.3,27,41.5,2,2025
14,Corliss Waitman,29,PIT,P,16,0,65,3015,46.4,192,2723,41.9,71,5,7.7,27,41.5,0,2025
15,Thomas Morstead,38,NYJ,P,17,0,63,2972,47.2,256,2576,40.9,75,7,11.1,20,31.7,0,2025
16,Bryan Anger,36,DAL,P,17,0,62,3005,48.5,343,2602,42.0,62,3,4.8,24,38.7,0,2025
17,Matt Araiza,24,KAN,P,17,0,62,3027,48.8,253,2593,41.8,72,9,14.5,25,40.3,0,2025
18,Jake Bailey,27,MIA,P,17,0,56,2639,47.1,230,2329,40.9,64,5,8.9,22,39.3,1,2025
19,Jamie Gillan,27,NYG,P,13,0,56,2448,43.7,135,2273,40.6,67,2,3.6,27,48.2,0,2025
20,Daniel Whelan,25,GNB,P,17,0,56,2582,46.1,229,2253,40.2,74,5,8.9,22,39.3,0,2025
21,Ryan Wright,24,MIN,P,17,0,56,2604,46.5,196,2310,40.5,66,5,8.9,27,48.2,1,2025
22,Ethan Evans,23,LAR,P,16,0,55,2530,46.0,198,2292,41.7,68,2,3.6,30,54.5,0,2025
23,Jordan Stout,26,BAL,P,17,0,55,2551,46.4,164,2267,41.2,70,6,10.9,22,40.0,0,2025
24,Braden Mann,27,PHI,P,17,0,54,2633,48.8,183,2310,42.0,70,7,13.0,20,37.0,1,2025
25,Sam Martin,34,BUF,P,17,0,54,2523,46.7,213,2210,40.2,65,5,9.3,25,46.3,1,2025
26,Ryan Rehkow,26,CIN,P,17,0,53,2603,49.1,228,2295,43.3,80,5,9.4,25,47.2,0,2025
27,Tress Way,34,WAS,P,17,0,50,2343,46.9,148,2155,43.1,74,2,4.0,22,44.0,0,2025
28,Bradley Pinion,30,ATL,P,17,0,47,2209,47.0,305,1821,38.7,65,4,8.5,14,29.8,0,2025
29,Jack Fox,28,DET,P,17,0,45,2295,51.0,136,2079,46.2,68,4,8.9,22,48.9,0,2025
30,Blake Gillikin,26,ARI,P,13,0,38,1887,49.7,183,1680,44.2,63,1,2.6,19,50.0,0,2025
31,Trenton Gill,25,TAM,P,8,0,27,1169,43.3,103,1046,38.7,57,1,3.7,9,33.3,0,2025
32,Pat O'Donnell,33,SFO,P,8,0,24,1082,45.1,101,961,40.0,56,1,4.2,8,33.3,0,2025
33,Mitch Wishnowsky,32,SFO,P,9,0,22,994,45.2,160,834,36.3,58,0,0.0,11,50.0,1,2025
34,Matt Haack,30,NYG,P,4,0,21,988,47.0,139,829,39.5,66,1,4.8,9,42.9,0,2025
35,Jake Camarda,25,TAM,P,4,0,13,589,45.3,115,474,36.5,67,0,0.0,5,38.5,0,2025
36,Michael Palardy,32,ARI,P,4,0,13,559,43.0,31,508,39.1,54,1,7.7,1,7.7,0,2025
37,Jack Browning,23,TAM,P,5,0,10,425,42.5,59,346,34.6,54,1,10.0,0,0.0,0,2025
38,Ty Zentner,26,LAR,P,1,0,7,281,40.1,13,268,33.5,53,0,0.0,3,42.9,1,2025
39,Chad Ryland,25,ARI,K,13,0,3,117,39.0,0,117,39.0,44,0,0.0,0,0.0,0,2025
40,Cameron Johnston,32,PIT,P,1,0,2,103,51.5,28,75,37.5,58,0,0.0,1,50.0,0,2025
41,Chris Boswell,33,PIT,K,17,0,1,43,43.0,0,43,43.0,43,0,0.0,0,0.0,0,2025
1,Thomas Morstead,37,NYJ,P,17,0,99,4831,48.8,532,4139,41.8,62,8,8.1,36,36.4,0,2025
2,Bryce Baringer,24,NWE,P,17,0,98,4598,46.9,441,3997,40.8,79,8,8.2,38,38.8,0,2025
3,Jamie Gillan,26,NYG,P,17,0,95,4372,46.0,271,4021,42.3,74,4,4.2,35,36.8,0,2025
4,Corey Bojorquez,27,CLE,P,16,0,87,4294,49.4,421,3693,42.4,73,9,10.3,31,35.6,0,2025
5,Johnny Hekker,33,CAR,P,17,0,82,3838,46.8,210,3528,43.0,69,5,6.1,26,31.7,0,2025
6,Riley Dixon,30,DEN,P,17,0,79,3659,46.3,202,3337,42.2,68,6,7.6,27,34.2,0,2025
7,Pressley Harvin III,25,PIT,P,15,0,78,3419,43.8,249,3050,39.1,63,6,7.7,30,38.5,0,2025
8,Jake Camarda,24,TAM,P,17,0,77,3854,50.1,455,3229,41.9,74,9,11.7,26,33.8,0,2025
9,Brad Robbins,25,CIN,P,17,0,76,3369,44.3,210,3058,40.2,62,5,6.6,20,26.3,0,2025
10,AJ Cole III,28,LVR,P,17,0,75,3783,50.4,287,3376,45.0,83,6,8.0,34,45.3,0,2025
11,Lou Hedley,30,NOR,P,17,0,75,3224,43.0,166,2978,39.7,62,4,5.3,31,41.3,0,2025
12,Bradley Pinion,29,ATL,P,17,0,75,3523,47.0,353,3110,41.5,66,3,4.0,27,36.0,0,2025
13,JK Scott,28,LAC,P,17,0,75,3475,46.3,226,3169,42.3,83,4,5.3,30,40.0,0,2025
14,Tress Way,33,WAS,P,17,0,73,3361,46.0,272,3053,41.3,66,2,2.7,30,41.1,1,2025
15,Rigoberto Sanchez,29,IND,P,17,0,68,3281,48.3,360,2921,43.0,69,0,0.0,21,30.9,0,2025
16,Trenton Gill,24,CHI,P,17,0,67,3088,46.1,381,2547,38.0,76,8,11.9,18,26.9,0,2025
17,Michael Dickson,27,SEA,P,17,0,66,3303,50.0,230,2913,44.1,73,8,12.1,25,37.9,0,2025
18,Cameron Johnston,31,HOU,P,13,0,66,3145,47.7,189,2896,43.9,74,3,4.5,30,45.5,0,2025
19,Jordan Stout,25,BAL,P,17,0,66,3158,47.8,436,2622,39.1,67,5,7.6,28,42.4,1,2025
20,Ethan Evans,22,LAR,P,17,0,63,3101,49.2,495,2466,38.5,72,7,11.1,20,31.7,1,2025
