Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1,1.0,2.0,1.0,50.0,9.0,9.0,4.5,0,22.9,-4.5,6.0,3.0,1.0,0.0,0.0,0.0,3.0,3,21,0.0,0.0,,NelsAn01
8,0.0,0.0,0.0,,0.0,,,0,,,0.0,0.0,0.0,5.0,4.0,0.0,1.0,10,21,2.0,8.7,,OdigOs00
8,0.0,1.0,0.0,0.0,0.0,,0.0,0,39.6,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,21,1.0,4.5,,PhilHa00
8,0.0,10.0,9.0,90.0,69.0,7.7,6.9,0,95.4,2.1,17.0,52.0,10.0,9.0,4.0,0.0,2.0,15,21,3.0,12.5,,PhilJa02
3,0.0,12.0,9.0,75.0,138.0,15.3,11.5,1,140.3,10.7,95.0,43.0,2.0,1.0,0.0,0.0,0.0,1,21,1.0,4.5,,RansLa00
2,0.0,14.0,13.0,92.9,212.0,16.3,15.1,1,142.6,6.0,73.0,139.0,4.0,0.0,0.0,0.0,0.0,0,21,2.0,8.7,,SmitHa00
2,1.0,25.0,14.0,56.0,156.0,11.1,6.2,1,71.4,10.8,104.0,52.0,1.0,0.0,0.0,0.0,0.0,0,21,0.0,0.0,,StJuBe00
2,0.0,12.0,7.0,58.3,99.0,14.1,8.3,0,85.1,9.9,64.0,35.0,2.0,0.0,0.0,0.0,0.0,0,21,3.0,12.5,,StewM.00
8,0.0,1.0,1.0,100.0,5.0,5.0,5.0,0,87.5,5.0,5.0,0.0,5.0,1.0,5.0,0.0,2.5,10,21,3.0,12.5,,ThibKa00
0,0.0,0.0,0.0,,0.0,,,0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,21,1.0,4.5,,UwazEy00
8,0.0,2.0,1.0,50.0,8.0,8.0,4.0,0,60.4,-4.0,-4.0,12.0,0.0,0.0,3.0,1.0,3.5,7,21,2.0,8.7,,WillMi08
4,0.0,9.0,5.0,55.6,27.0,5.4,3.0,0,60.9,5.9,2.0,25.0,6.0,0.0,0.0,0.0,0.0,0,20,4.0,16.7,,AdamTo03
4,0.0,28.0,17.0,60.7,174.0,10.2,6.2,2,102.4,11.1,132.0,42.0,3.0,0.0,0.0,0.0,0.0,0,20,2.0,9.1,,AwuzCh00
8,0.0,0.0,0.0,,0.0,,,0,,,0.0,0.0,0.0,3.0,3.0,2.0,1.5,8,20,0.0,0.0,,BresBr00
7,0.0,28.0,13.0,46.4,225.0,17.3,8.0,2,98.1,9.7,152.0,73.0,3.0,0.0,0.0,0.0,0.0,0,20,4.0,16.7,,GardSa00
